"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"1139","Light Trail Rush","Jul 13, 2020","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","B2Expand","B2Expand"
"1140","VirtuaLiron - Immersive YOGA practice","Nov 14, 2019","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Motek Entertainment, Oshri Even Zohar","Motek Entertainment"
"1141","Futbolín Revolution","Jun 12, 2020","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","PixelfunGames","PixelfunGames"
"1142","FarRock Dodgeball","Sep 23, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Side B Gaming","Side B Gaming"
"1143","EPEJSODION Dodgeball Defense","Sep 3, 2020","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Tadeusz Lorkowski","Tadeusz Lorkowski"
"1144","International Tennis Open","Jun 1, 1994","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Infogrames Europe SA","Pixel Games UK"
"1146","Winter Sleigh","Jan 6, 2021","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Kārlis Luksis","Kārlis Luksis"
"1148","SnowRocket","Oct 27, 2021","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Neokosmos Technologies","Neokosmos Technologies"
"1149","Trialtime Reborn","Feb 28, 2022","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Grégory Defaisse","NichGames"
"1151","Pixel Car Racing: Blocky Crash","Jul 28, 2024","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","HapGames","HapGames"
"1152","Football Legacy Manager 25","Sep 6, 2024","$8.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Football Legacy Manager","Football Legacy Manager"
"1153","POKER BATTLE","Oct 13, 2024","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","LB, LB","LB"
"1154","Rival Roads Car Racing","Feb 22, 2025","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","HAER Studio","Hyperion Studios"
"1155","Pro Basketball Manager 2016 - US Edition","Feb 18, 2016","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Cyanide Studio, Umix Studios","Nacon"
"1156","TURGUL: RAPID FIGHTING","Dec 19, 2016","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","dynamicsoulworks","OtakuMaker.com"
"1157","Tower Ascent","Sep 7, 2017","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","KitTheNinja, Ate134, FFTG - Nate, Kanestapler","KitTheNinja"
"1158","4x4 Offroad Racing - Nitro","Mar 10, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","magnussoft","magnussoft"
"1159","Mini Hockey VR","Jan 22, 2019","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Carson Lougheed","Carson Lougheed"
"1160","OlympicVR","Nov 28, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Anarkica Games","Anarkica Games"
"1161","Tennis Kings VR","Apr 23, 2018","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Appnori Inc.","Appnori Inc."
"1162","The Next Day After Friday","Mar 30, 2018","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","VR Friends","VR Friends"
"1163","Balance of Soccer","Dec 11, 2018","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Stepiral Studio","Stepiral Studio"
"1164","UniteStar","Jun 3, 2018","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SweetApple","SteamWork"
"1165","Harpoon Cat","Jul 11, 2018","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Fury Games Production","Fury Games Production"
"1166","Halloween Puzzles","Nov 6, 2018","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Boogygames Studios","Boogygames Studios"
"1167","Fancy Skiing: Speed","May 17, 2019","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hash Technology","Hash Technology"
"1168","Astonishing Baseball 2019","May 20, 2019","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Aerilys","Aerilys"
"1169","HVAC Simulator","Jul 31, 2019","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","InsanityGameStudios","InsanityGameStudios"
"1170","Classic Card Game Gin Rummy","Jan 25, 2019","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Webfoot","Encore Software LLC"
"1171","Vaporwave Road VR","Apr 20, 2024","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Meng Games","Meng Games"
"1172","Boom Dojo","Jan 29, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Yolopia Ltd","Yolopia Ltd"
"1173","Drone Simulator","Dec 22, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ammonite Design Studios Ltd","Ammonite Design Studios Ltd"
"1174","Can Gym Break This?","Dec 19, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Harsh Bakshi","Skrots Game Studios"
"1175","Why Me","Aug 23, 2024","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Robin Interactive Studios","Robin Interactive Studios"
"1176","Streets of Rageness: Beat 'Em Up Fighter","Mar 3, 2025","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hard Shark Games","Hard Shark Games"
"1177","Pinheads Bowling VR","Dec 22, 2016","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Midnight Studios, Inc.","Midnight Studios, Inc."
"1178","Beer Pong VR","Mar 3, 2018","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Axis Granted Creations Team","Axis Granted Creations"
"1179","Jammerball","Mar 1, 2018","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","DKWorld Entertainment","DKWorld Entertainment"
"1180","Mini Golf Buddies","Dec 18, 2018","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Obumo Games","Obumo Games"
"1181","Hardcore Parkour","May 17, 2019","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Walid Chekkouri","Walid Chekkouri"
"1182","Come on-be with you","Feb 13, 2020","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","yu","yun"
"1183","Virage Rally","Feb 24, 2020","$8.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Eyraud Software","Eyraud Software"
"1184","Xtreme Aces Racing","Jan 13, 2022","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Under Control Games","Under Control Games"
"1185","FitnessVR","Sep 4, 2023","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Blackant Master Studio","Blackant Master Studio"
"1186","Homaysa","Dec 30, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Homaysa","Homaysa"
"1187","Kaleido Chaos","Aug 28, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Weiqiang Ou","Weiqiang Ou"
"1188","OLD SKOOL RACER","Aug 30, 2021","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Karma Play Limited","Karma Play Limited"
"1189","Extreme Skiing VR","Oct 20, 2016","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","乐客游戏","乐客游戏"
"1190","Rev Up! RC Grand Prix","Mar 2, 2023","$12.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SAT-BOX","SAT-BOX"
"1192","Garage Master 2018","Jul 12, 2018","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Fury Games Production","Fury Games Production"
"1193","Street Racing 2020","Mar 30, 2020","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Technologies&Simulators","Technologies&Simulators"
"1194","ARVIS Punch","Jul 4, 2024","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MindFly Studio","MindFly Studio"
"1195","Sarah, you are way too heavy","May 21, 2019","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","AnYouGame Studio","AnYouGame Studio"
"1196","Supercar Drift","Oct 9, 2019","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","PLAYWHIZ GAMES Pvt Ltd","PLAYWHIZ GAMES Pvt Ltd"
"1197","VR Drivers","Oct 5, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Magic VR","Magic VR"
"1198","Girl Rugby Dash","Oct 19, 2018","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Action Portal","Action Portal"
"1199","Ero Snooker","Jan 29, 2021","$199.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hede","Hede"
"1200","Chess","Jun 23, 2011","$24.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","baKno Games","baKno Games"
"1201","Dream UniVRse","Aug 23, 2018","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","viVRe","viVRe"
"1202","LASER STRIKERS","Apr 17, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Koth Studo","Koth Studio"
"1203","Gunball","Jun 28, 2017","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","REDspace","REDspace"
"1204","Exterminator: Escape!","Sep 15, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","PRIME WORKS Co.,Ltd.","PRIME WORKS Co.,Ltd."
"1206","Crucial Throw","Mar 23, 2018","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Brainduck","Brainduck"
"1207","Golf Cart Drive","Apr 2, 2018","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Builder7","Big Fish Games"
"1208","Neon Spaceboard","Aug 4, 2018","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Federico Jimenez","Browith"
"1209","Jelly Wrestle","Jul 20, 2018","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Fury Games Production","Fury Games Production"
"1210","Little Comet","Dec 14, 2018","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Outgunned Games","Outgunned Games"
"1211","Eurobi Racing","Dec 13, 2018","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Nyanko Gaming","Nyanko Gaming"
"1212","Biplane Racer","May 10, 2019","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Happy Horns","Happy Horns"
"1213","RockaBowling VR","May 10, 2019","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Reflux Interactive","Reflux Interactive"
"1214","Iceroyds!","Dec 20, 2019","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","CMC Games","CMC Games"
"1215","Thigh Climbers","Apr 24, 2020","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Monarchy Media, LLC","Monarchy Media, LLC"
"1216","Winter Break","Jan 3, 2020","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","RyseUp Studios","RyseUp Studios"
"1218","Quarter Horse Racing","Mar 6, 2020","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","GJ Arts","GJ Arts"
"1219","PURRfection!  The cat tossing game!!","Jul 2, 2020","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","KCGames","Furballs Anonymous"
"1220","Groove Balls","Jul 25, 2020","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Yolopia Ltd","Yolopia Ltd"
"1221","Punchout: Music","Sep 17, 2020","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Officeu Co., Ltd.","Officeu Co., Ltd."
"1222","Space Squadron","Nov 18, 2020","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","indiegames3000","indiegames3000"
"1228","Race - Total Toon Race","Apr 9, 2021","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Andreas Otten","Andreas Otten"
"1229","Fight for that Ball","May 19, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Beardman Studios","Beardman Studios"
"1231","Kate Kite","May 7, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","DY STUDIO, DY STUDIO","DY STUDIO"
"1232","Football Bus Battle 2021","Jun 28, 2021","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","BuffGames","BuffGames"
"1233","Extrorb","Sep 14, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Tresiris, LLC","Tresiris, LLC"
"1234","Treffen","Sep 29, 2021","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Snake","Snake"
"1235","World Fit","Sep 19, 2023","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","RevTech Games","RevTech Games"
"1236","Billiards of the Round Table (BRT)","Mar 10, 2022","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Moustache Cabal","Moustache Cabal"
"1238","Smashball","Feb 21, 2022","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Felix Albert","Felix Albert"
"1239","Chessie Chicken","Mar 23, 2022","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","OMEGABYTE","OMEGABYTE"
"1240","Dubu Rush","Mar 18, 2022","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","AkDang Games","AkDang Games"
"1241","DuckHunt - Missouri","Mar 21, 2022","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Predrag Lazic","MobileTVGames"
"1242","True Racing","Mar 24, 2022","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","BSO, BSA","BSO"
"1243","HoopsFPS","Apr 8, 2022","$2","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ronald Elizondo, Justin Green(Musician)","Lizondo LLC"
"1244","VR Basketball Sweetie","Nov 17, 2022","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Thoth VR Health","Thoth VR Health"
"1245","Crux: The Great Outdoors","Feb 16, 2023","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","M1ndg4mes Studio","Tidepool Games"
"1246","Match Day & International Match Day (C64/CPC/Spectrum)","Dec 27, 2022","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ocean Software","Pixel Games UK"
"1247","Champ at Dawn","Jan 23, 2023","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Grey Sekiya","Grey Sekiya"
"1248","MathCar","Feb 15, 2023","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Bog Iron Games","Bog Iron Games"
"1249","OrbRider","Mar 30, 2023","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Orbjeff LLC","Orbjeff LLC"
"1250","Floor Chess","Apr 18, 2023","$8.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Random Theory Games","Random Theory Games"
"1251","HotWire VR","Jun 19, 2023","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","LeFx GmbH","LeFx GmbH"
"1252","Finesse","Jul 14, 2023","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Abscure Games","Abscure Games"
"1253","Floppy Cat Bow Golf!","Jun 26, 2023","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Kata Studios","Kata Studios"
"1254","PongBall","Jul 22, 2023","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","NerxStudio","NerxStudio"
"1255","Dirt Bicycle Rider Simulator","Aug 15, 2023","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Samet Acar","UPCELL TELEKOMUNIKASYON LIMITED SIRKETI"
"1256","Next Move","Dec 4, 2023","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Typico Games","Typico Games"
"1257","Boxing Champion","Sep 24, 2023","$2.77","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Li Yin","Li Yin"
"1258","SKULLFracture","Oct 12, 2023","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Nuskadamo","Nuskadamo"
"1260","CyberRush","Aug 28, 2024","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dream Engine","Dream Engine"
"1262","Desktop BaseBall 2","Mar 6, 2024","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SAT-BOX","SAT-BOX"
"1263","Toward the Moon","Mar 1, 2024","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Bulut ULU","FND GAME"
"1264","Winds Up Kitesurfing","May 13, 2024","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Too Moose Games","Too Moose Games"
"1265","Underpowered Night Spooks","May 28, 2024","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Turbo the Moon","Turbo the Moon"
"1266","Really Simple Golf","Apr 7, 2025","$8.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Lukudev","Lukudev"
"1267","Bike Stunt 3D Freestyle","Oct 21, 2024","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Nitx Games","NitxGames"
"1268","Sprint Star - A Running Manager","Nov 15, 2024","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","3KnightsDevelopment","3KnightsDevelopment"
"1269","Summer Games Challenge","Jul 18, 2024","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Joindots GmbH, Nementic Games","Markt+Technik Verlag GmbH"
"1270","Mini Lax Sim 24","Sep 10, 2024","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","CescosGames","CescosGames"
"1271","SquareLean","Sep 9, 2024","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SquareLean","SquareLean"
"1272","Baseball Club","Sep 26, 2024","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","BoomBit","BoomBit"
"1273","Pirates of Justice","Jan 8, 2025","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Strong Bow Games","Strong Bow Games"
"1274","Dead Beats Survivors","Mar 6, 2025","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","1st-impact co.,ltd.","1st-impact co.,ltd."
"1275","Tennis Life","Mar 7, 2025","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SenseDevil Games","SenseDevil Games"
"1276","Jaleco Sports: Bases Loaded","Apr 18, 2025","$12.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sickhead Games","Rock It Games"
"1277","VR Batting","Mar 20, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Saad Khan, Irfan Abbasi, Hassan Yawar","Arbisoft"
"1278","Spud Cricket VR","Nov 2, 2017","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hairy Man Games","Hairy Man Games"
"1279","Fall Fear Fly Redemption","Oct 16, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Lobaki","Lobaki"
"1280","Dealey Plaza Paintball","Aug 25, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Jason Baird","Jason Baird"
"1281","VR Squash 2017","Nov 20, 2017","$18.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","David Cseh","David Cseh"
"1282","Big Bang Billiards","Dec 23, 2017","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Octopus Interactive VR","Octopus Interactive VR"
"1283","Paddle Master VR","Nov 18, 2017","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Raging Pygmy Goat Games","Raging Pygmy Goat Games"
"1284","Quickshot","Mar 12, 2018","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Headroom.one","Headroom.one"
"1285","ATV Simulator VR","Mar 20, 2018","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Builder7","Second Sky Entertainment"
"1286","RECOIL","May 15, 2018","$1.5","N/A (N/A)","0 .. 20,000","00:00 (00:00)","AHui.Game","AHui.Game"
"1287","Angry Ball VR","Dec 4, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MWN TECH.,LTD","MWN TECH.,LTD"
"1288","Ski Drive: Biathlon","Feb 28, 2019","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Art Of Adventures","Art Of Adventures"
"1289","Hentai LightUp","Aug 5, 2019","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","LeonWaan Games","LeonWaan Games"
"1290","Smashing Healthy VR","Apr 18, 2020","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Daruma The Factory, Inc.","Daruma The Factory, Inc."
"1291","INVISIBLE MAN","Jun 19, 2020","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Cybermask Studio","Cybermask Studio"
"1294","EPEJSODION Dodgeball Attack","Aug 26, 2020","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Tadeusz Lorkowski","Tadeusz Lorkowski"
"1295","Conrun Virtual Gym","Dec 12, 2020","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Selfparadise","Selfparadise"
"1297","Surgeball","May 22, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Mike Farrant","Mike Farrant"
"1298","Arm Wrestling Reborn","Nov 28, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Alien Cyber Coat","Alien Cyber Coat"
"1299","Sports Betting Simulator","Dec 6, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ashina Games","Ashina Games"
"1300","Kidduca","Dec 26, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","RMB Games - Free learning games fo Kids","RMB Games - Free learning games fo Kids"
"1303","VR AirHockey / VR エアホッケー","Apr 5, 2022","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ICHIICHI KK","ICHIICHI KK"
"1305","Fight Club - All Stars","Apr 21, 2023","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Alex Mas","Alex Mas"
"1306","VR PingPong Sweetie","Sep 5, 2022","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Thoth VR Health","Thoth VR Health"
"1307","Moto Trophy","Nov 18, 2022","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Evvacon","Evvacon"
"1308","Super Kick Off (Game Boy/Game Gear/Master System/Mega Drive/SNES)","Nov 22, 2022","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Enigma Variations, Anco Software","Pixel Games UK"
"1310","Rugby Sevens 23","Apr 21, 2023","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Lombard Games","Lombard Games"
"1311","Desktop Soccer 2","Apr 2, 2023","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SAT-BOX","SAT-BOX"
"1312","UNICYCLIST","May 19, 2023","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","John Peate","John Peate"
"1313","B.o.W II VR","Mar 29, 2025","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Triggerfish Games","Triggerfish Studios"
"1314","Master The Sky - Drones Unleashed","Jul 30, 2023","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Pastelcube Technologies Private Limited","Pastelcube Technologies Private Limited"
"1315","肝試しゴルフ[KimodameshiGolf]","Sep 29, 2023","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","黒子ラボ","黒子ラボ"
"1316","The Westcoast Drive : Lowrider Simulator","Oct 26, 2023","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","BlackPanzerYZ","BlackPanzerYZ"
"1317","Gridmaster","Dec 7, 2023","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","GeamGames","GeamGames"
"1318","Jousting Manager","Aug 19, 2024","$24.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","OUROBOROSSTUDIO","RSB SISTEMA"
"1319","Starters Orders Touch Horse Racing","Jul 12, 2024","$29.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Strategic Designs Ltd.","Strategic Designs Ltd."
"1320","Haunt N Seek: Silent Siren","Jun 20, 2024","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MDRNgames Inc","MDRNgames Inc"
"1321","The Line of Defense","Jan 9, 2025","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Glindeni SA","Glindeni sa"
"1322","Millennium Police","Jan 8, 2025","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","LI XITAO","LI XITAO"
"1323","MiniGolf Showdown","Feb 14, 2025","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","AT Games","AT Games"
"1324","Racing: Storm Chase","Apr 30, 2025","$1.69","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ChenZepeng","ChenZepeng"
